DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
,,,,,"IPv4 Network: 47.3.5.0/26
MASK: 255.255.255.192
IPv6 Network: 2600:6c7f:91c0:40:1::/80",,341,47.3.5.,0,,2600:6c7f:91c0:40:1::,,"POD 1, eCDN Public Facing",,,,,,,,
,,,,,VRRP IP,,341,47.3.5.,1,1,2600:6c7f:91c0:40:1::,1,Gateway,,,,,,,,
,,,,,dcr01chdcnc,,341,47.3.5.,2,2,2600:6c7f:91c0:40:1::,2,,,,,,,,,
,,,,,dcr02chdcnc,,341,47.3.5.,3,3,2600:6c7f:91c0:40:1::,3,,,,,,,,,
ladcca,1,0,ch-gec,1,ladcca-ch-gec-1001-eth1,eth1,341,47.3.5.,4,4,2600:6c7f:91c0:40:1::,4,"POD 1, eCDN Node Public",,47.3.5.4,ladcca-ch-gec-1001-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::4,ladcca-ch-gec-1001-eth1.ladc.ca.charter.com,"add|a|47.3.5.4|ladcca-ch-gec-1001-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.4|ladcca-ch-gec-1001-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::4|ladcca-ch-gec-1001-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::4|ladcca-ch-gec-1001-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,2,ladcca-ch-gec-1002-eth1,eth1,341,47.3.5.,5,5,2600:6c7f:91c0:40:1::,5,"POD 1, eCDN Node Public",,47.3.5.5,ladcca-ch-gec-1002-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::5,ladcca-ch-gec-1002-eth1.ladc.ca.charter.com,"add|a|47.3.5.5|ladcca-ch-gec-1002-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.5|ladcca-ch-gec-1002-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::5|ladcca-ch-gec-1002-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::5|ladcca-ch-gec-1002-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,3,ladcca-ch-gec-1003-eth1,eth1,341,47.3.5.,6,6,2600:6c7f:91c0:40:1::,6,"POD 1, eCDN Node Public",,47.3.5.6,ladcca-ch-gec-1003-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::6,ladcca-ch-gec-1003-eth1.ladc.ca.charter.com,"add|a|47.3.5.6|ladcca-ch-gec-1003-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.6|ladcca-ch-gec-1003-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::6|ladcca-ch-gec-1003-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::6|ladcca-ch-gec-1003-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,4,ladcca-ch-gec-1004-eth1,eth1,341,47.3.5.,7,7,2600:6c7f:91c0:40:1::,7,"POD 1, eCDN Node Public",,47.3.5.7,ladcca-ch-gec-1004-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::7,ladcca-ch-gec-1004-eth1.ladc.ca.charter.com,"add|a|47.3.5.7|ladcca-ch-gec-1004-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.7|ladcca-ch-gec-1004-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::7|ladcca-ch-gec-1004-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::7|ladcca-ch-gec-1004-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,5,ladcca-ch-gec-1005-eth1,eth1,341,47.3.5.,8,8,2600:6c7f:91c0:40:1::,8,"POD 1, eCDN Node Public",,47.3.5.8,ladcca-ch-gec-1005-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::8,ladcca-ch-gec-1005-eth1.ladc.ca.charter.com,"add|a|47.3.5.8|ladcca-ch-gec-1005-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.8|ladcca-ch-gec-1005-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::8|ladcca-ch-gec-1005-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::8|ladcca-ch-gec-1005-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,6,ladcca-ch-gec-1006-eth1,eth1,341,47.3.5.,9,9,2600:6c7f:91c0:40:1::,9,"POD 1, eCDN Node Public",,47.3.5.9,ladcca-ch-gec-1006-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::9,ladcca-ch-gec-1006-eth1.ladc.ca.charter.com,"add|a|47.3.5.9|ladcca-ch-gec-1006-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.9|ladcca-ch-gec-1006-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::9|ladcca-ch-gec-1006-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::9|ladcca-ch-gec-1006-eth1.ladc.ca.charter.com|3600",,
