POD	Type	No.	Hostname 	Interface 	VLAN 		IPv4 	Cntr		IPv6	Description 	Orig Line	4Net1	4Net2	4Net3	4Net4		6net		IPv4	DNS A Records	IPv6	DNS AAAA Records
			"IPv4 Network: 75.179.249.208/28
MASK: 255.255.255.240
IPv6 Network: 2001:1998:064f:010d::/64"		920		208				"SRDC 1 Dash TS Packagers
domain: cdvr.stage.charter.com"	2	75	179	249	208	75.179.249.208	010d					
			VRRP IP		920	75.179.249.	209	1	2001:1998:064f:010d::	1	Gateway	3	75	179	249	208	75.179.249.209	010d					
			Router 1		920	75.179.249.	210	2	2001:1998:064f:010d::	2		4	75	179	249	208	75.179.249.210	010d					
			Router 2		920	75.179.249.	211	3	2001:1998:064f:010d::	3		5	75	179	249	208	75.179.249.211	010d					
1	im-pkg	1	cdptpabb-im-pkg-0001	eth0	920	75.179.249.	212	4	2001:1998:064f:010d::	4	DASH-TS Packager 1	6	75	179	249	208	75.179.249.212	010d		75.179.249.212	cdptpabb-im-pkg-0001.cdvr.stage.charter.com	2001:1998:064f:010d::4	cdptpabb-im-pkg-0001.cdvr.stage.charter.com
1	im-pkg	2	cdptpabb-im-pkg-0002	eth0	920	75.179.249.	213	5	2001:1998:064f:010d::	5	DASH-TS Packager 2	7	75	179	249	208	75.179.249.213	010d		75.179.249.213	cdptpabb-im-pkg-0002.cdvr.stage.charter.com	2001:1998:064f:010d::5	cdptpabb-im-pkg-0002.cdvr.stage.charter.com
1	im-pkg	3	cdptpabb-im-pkg-0003	eth0	920	75.179.249.	214	6	2001:1998:064f:010d::	6	DASH-TS Packager 3	8	75	179	249	208	75.179.249.214	010d		75.179.249.214	cdptpabb-im-pkg-0003.cdvr.stage.charter.com	2001:1998:064f:010d::6	cdptpabb-im-pkg-0003.cdvr.stage.charter.com
1	im-pkg	4	cdptpabb-im-pkg-0004	eth0	920	75.179.249.	215	7	2001:1998:064f:010d::	7	DASH-TS Packager 4	9	75	179	249	208	75.179.249.215	010d		75.179.249.215	cdptpabb-im-pkg-0004.cdvr.stage.charter.com	2001:1998:064f:010d::7	cdptpabb-im-pkg-0004.cdvr.stage.charter.com
1	im-pkg	5	cdptpabb-im-pkg-0005	eth0	920	75.179.249.	216	8	2001:1998:064f:010d::	8	DASH-TS Packager 5	10	75	179	249	208	75.179.249.216	010d		75.179.249.216	cdptpabb-im-pkg-0005.cdvr.stage.charter.com	2001:1998:064f:010d::8	cdptpabb-im-pkg-0005.cdvr.stage.charter.com
1	im-pkg	6	cdptpabb-im-pkg-0006	eth0	920	75.179.249.	217	9	2001:1998:064f:010d::	9	Test Packager for Ron Munoz	11	75	179	249	208	75.179.249.217	010d					
1	im-lic	1	cdptpabb-im-lic-0001	eth0	920	75.179.249.	218	10	2001:1998:064f:010d::	A	Imagine License Server #1	12	75	179	249	208	75.179.249.218	010d		75.179.249.218	cdptpabb-im-lic-0001.cdvr.stage.charter.com	2001:1998:064f:010d::A	cdptpabb-im-lic-0001.cdvr.stage.charter.com
1	im-lic	1	cdptpabb-im-lic-0002	eth0	920	75.179.249.	219	11	2001:1998:064f:010d::	B	Imagine License Server #2	13	75	179	249	208	75.179.249.219	010d		75.179.249.219	cdptpabb-im-lic-0002.cdvr.stage.charter.com	2001:1998:064f:010d::B	cdptpabb-im-lic-0002.cdvr.stage.charter.com
1	tk-sen	1	cdptpabb-tk-sen-1001	eth0	920	75.179.249.	220	12	2001:1998:064f:010d::	C	Tektronix Sentry	14	75	179	249	208	75.179.249.220	010d					
1	iq-iqp	1	cdptpabb-iq-iqp-1001	eth0	920	75.179.249.	221	13	2001:1998:064f:010d::	D	Telestream Inspector Live	15	75	179	249	208	75.179.249.221	010d					
1	ch-utl	1	cdptpabb-ch-utl-0001	eth0	920	75.179.249.	222	14	2001:1998:064f:010d::	E	Utillity Server 1	16	75	179	249	208	75.179.249.222	010d		75.179.249.222	cdptpabb-ch-utl-0001.cdvr.stage.charter.com	2001:1998:064f:010d::E	cdptpabb-ch-utl-0001.cdvr.stage.charter.com
			Broadcast		920	75.179.249.	223			ffff:ffff:ffff:ffff		17	75	179	249	208	75.179.249.223	010d					
												18					...						
			"IPv4 Network: 75.179.249.160/27
MASK: 255.255.255.224
IPv6 Network: 2001:1998:064f:010c::/64"		910		160				"SRDC 1 Couchbase/RR
domain: cdvr.stage.charter.com"	19	75	179	249	160	75.179.249.160	010c					
			VRRP VIP		910	75.179.249.	161	1	2001:1998:064f:010c::	1		20	75	179	249	160	75.179.249.161	010c					
			Router 1		910	75.179.249.	162	2	2001:1998:064f:010c::	2		21	75	179	249	160	75.179.249.162	010c					
			Router 2		910	75.179.249.	163	3	2001:1998:064f:010c::	3		22	75	179	249	160	75.179.249.163	010c					
1	n/a	n/a	rr-vip	n/a	910	75.179.249.	164	4	2001:1998:064f:010c::	4	RR VIP	23	75	179	249	160	75.179.249.164	010c		75.179.249.164	rr-vip.cdvr.stage.charter.com	2001:1998:064f:010c::4	rr-vip.cdvr.stage.charter.com
